model,classifier,rows,datasets,mae,rmse,top1_resampling_accuracy,top3_resampling_accuracy,mean_spearman,mean_kendall,mean_regret,valid_spearman_sets,valid_kendall_sets
ridge,ALL,328,12,0.1673791612743732,0.22407553800190863,0.22916666666666666,0.5416666666666666,,,0.016203167236619607,0,0
random_forest,ALL,328,12,0.17521898057674448,0.20948063864561273,0.25,0.5208333333333334,,,0.01577829533500533,0,0
gradient_boosting,ALL,328,12,0.1743119228679284,0.20691116851781782,0.3333333333333333,0.6458333333333334,,,0.014757409469470378,0,0
