dataset,sensitivity_type,classifier,strategies_tested,mean_original_macro_f1,mean_sensitivity_macro_f1,mean_macro_f1_change,max_absolute_change
vowel0,SpeakerNumber,decision_tree,7,0.8489434694370818,0.8444523808347892,-0.00449108860229251,0.036406460746344904
vowel0,SpeakerNumber,logistic_regression,7,0.803502649535832,0.8204798928494829,0.016977243313650945,0.0224638757737331
vowel0,SpeakerNumber,random_forest,7,0.8862191700834047,0.8776708816837788,-0.008548288399625768,0.022029160438433504
vowel0,SpeakerNumber,xgboost,7,0.8963279126346043,0.8956645673929523,-0.0006633452416519026,0.00944523194377589
wisconsin,duplicate_group,decision_tree,7,0.9400623216517412,0.9417149045678928,0.0016525829161515254,0.011561037364754445
wisconsin,duplicate_group,logistic_regression,7,0.9659142324060123,0.9652420659031261,-0.0006721665028861354,0.008021834723427435
wisconsin,duplicate_group,random_forest,7,0.9705537385521247,0.9701054443956212,-0.0004482941565034767,0.008006934165069923
wisconsin,duplicate_group,xgboost,7,0.9645087934252567,0.9626358129863736,-0.0018729804388832236,0.006662693139911191
