dataset,sensitivity_type,resampling_code,resampling,classifier,samples,features,groups,safe_k_neighbors,tn,fp,fn,tp,macro_f1_sensitivity,macro_f1_sklearn,metric_error,execution_time_seconds,verification,macro_f1_original,macro_f1_change
wisconsin,duplicate_group,none,No Resampling,logistic_regression,683,9,449,5,432,12,13,226,0.9597338068590482,0.9597338068590482,0.0,0.10761799999999955,PASS,0.9677556415824756,-0.008021834723427435
wisconsin,duplicate_group,none,No Resampling,decision_tree,683,9,449,5,429,15,21,218,0.9417301785917416,0.9417301785917416,0.0,0.06303470000000022,PASS,0.953291215956496,-0.011561037364754445
wisconsin,duplicate_group,none,No Resampling,random_forest,683,9,449,5,432,12,7,232,0.9695724860430163,0.9695724860430163,0.0,3.2463762000000003,PASS,0.9695724860430164,-1.1102230246251565e-16
wisconsin,duplicate_group,none,No Resampling,xgboost,683,9,449,5,430,14,11,228,0.9598881802271633,0.9598881802271633,0.0,2.047089100000001,PASS,0.9663060713908171,-0.006417891163653877
wisconsin,duplicate_group,ros,Random Oversampling,logistic_regression,683,9,449,5,431,13,8,231,0.966369589837018,0.966369589837018,0.0,0.13344110000000065,PASS,0.9647349843224874,0.0016346055145306515
wisconsin,duplicate_group,ros,Random Oversampling,decision_tree,683,9,449,5,427,17,16,223,0.9469512065958534,0.9469512065958534,0.0,0.06311610000000023,PASS,0.9370618465355308,0.009889360060322594
wisconsin,duplicate_group,ros,Random Oversampling,random_forest,683,9,449,5,431,13,3,236,0.9744949400649764,0.9744949400649764,0.0,2.7770151999999992,PASS,0.9680009744944807,0.006493965570495641
wisconsin,duplicate_group,ros,Random Oversampling,xgboost,683,9,449,5,425,19,6,233,0.9602560372417808,0.9602560372417808,0.0,1.5873185999999997,PASS,0.9615290738063498,-0.0012730365645690078
wisconsin,duplicate_group,rus,Random Undersampling,logistic_regression,683,9,449,5,431,13,7,232,0.9680009744944809,0.9680009744944809,0.0,1.1421684999999968,PASS,0.9648010719439292,0.003199902550551692
wisconsin,duplicate_group,rus,Random Undersampling,decision_tree,683,9,449,5,423,21,12,227,0.9473477654512198,0.9473477654512198,0.0,0.05647169999999946,PASS,0.939201851539514,0.008145913911705827
wisconsin,duplicate_group,rus,Random Undersampling,random_forest,683,9,449,5,431,13,3,236,0.9744949400649764,0.9744949400649764,0.0,2.0360762,PASS,0.9728761215960828,0.001618818468893557
wisconsin,duplicate_group,rus,Random Undersampling,xgboost,683,9,449,5,427,17,5,234,0.9649939427825924,0.9649939427825924,0.0,1.1050933,PASS,0.9648662551440328,0.00012768763855963705
wisconsin,duplicate_group,smote,SMOTE,logistic_regression,683,9,449,5,431,13,8,231,0.966369589837018,0.966369589837018,0.0,0.44543290000000013,PASS,0.9663060713908171,6.35184462008942e-05
wisconsin,duplicate_group,smote,SMOTE,decision_tree,683,9,449,5,424,20,17,222,0.9406345067362016,0.9406345067362016,0.0,0.06872129999999999,PASS,0.9351253799392096,0.005509126796992003
wisconsin,duplicate_group,smote,SMOTE,random_forest,683,9,449,5,431,13,5,234,0.9712542087542086,0.9712542087542086,0.0,2.439517200000001,PASS,0.9744949400649764,-0.0032407313107677416
wisconsin,duplicate_group,smote,SMOTE,xgboost,683,9,449,5,427,17,8,231,0.9601119435236514,0.9601119435236514,0.0,1.5306546999999995,PASS,0.9630971258089902,-0.0029851822853388388
wisconsin,duplicate_group,adasyn,ADASYN,logistic_regression,683,9,449,5,428,16,5,234,0.9665549733824876,0.9665549733824876,0.0,1.0263372000000004,PASS,0.9634355542624382,0.003119419120049427
wisconsin,duplicate_group,adasyn,ADASYN,decision_tree,683,9,449,5,424,20,22,217,0.9322868473231989,0.9322868473231989,0.0,0.2175545000000021,PASS,0.9370618465355308,-0.004774999212331932
wisconsin,duplicate_group,adasyn,ADASYN,random_forest,683,9,449,5,430,14,6,233,0.9680602319491208,0.9680602319491208,0.0,2.5654252999999976,PASS,0.9664322407760628,0.0016279911730580077
wisconsin,duplicate_group,adasyn,ADASYN,xgboost,683,9,449,5,429,15,5,234,0.9681186750812204,0.9681186750812204,0.0,1.6373317000000007,PASS,0.9614559819413092,0.006662693139911191
wisconsin,duplicate_group,smote_tomek,SMOTE-Tomek,logistic_regression,683,9,449,5,431,13,9,230,0.9647349843224874,0.9647349843224874,0.0,0.2007854000000009,PASS,0.9663060713908171,-0.0015710870683297573
wisconsin,duplicate_group,smote_tomek,SMOTE-Tomek,decision_tree,683,9,449,5,422,22,21,218,0.930875814655203,0.930875814655203,0.0,0.13172289999999975,PASS,0.9317429044600536,-0.0008670898048506182
wisconsin,duplicate_group,smote_tomek,SMOTE-Tomek,random_forest,683,9,449,5,430,14,6,233,0.9680602319491208,0.9680602319491208,0.0,2.811954700000001,PASS,0.9760671661141908,-0.008006934165069923
wisconsin,duplicate_group,smote_tomek,SMOTE-Tomek,xgboost,683,9,449,5,429,15,10,229,0.9599637974250215,0.9599637974250215,0.0,1.560104299999999,PASS,0.9663060713908171,-0.006342273965795675
wisconsin,duplicate_group,smote_enn,SMOTE-ENN,logistic_regression,683,9,449,5,428,16,6,233,0.9649305425893424,0.9649305425893424,0.0,0.19829849999999993,PASS,0.9680602319491208,-0.0031296893597784203
wisconsin,duplicate_group,smote_enn,SMOTE-ENN,decision_tree,683,9,449,5,424,20,10,229,0.9521780126218307,0.9521780126218307,0.0,0.1382414000000054,PASS,0.9469512065958534,0.005226806025977249
wisconsin,duplicate_group,smote_enn,SMOTE-ENN,random_forest,683,9,449,5,430,14,8,231,0.9648010719439291,0.9648010719439291,0.0,2.7392494999999997,PASS,0.9664322407760628,-0.001631168832133767
wisconsin,duplicate_group,smote_enn,SMOTE-ENN,xgboost,683,9,449,5,425,19,3,236,0.9651181146231848,0.9651181146231848,0.0,1.401272899999995,PASS,0.9680009744944807,-0.002882859871295995
vowel0,SpeakerNumber,none,No Resampling,logistic_regression,988,13,15,5,878,20,20,70,0.8777530314278643,0.8777530314278643,0.0,0.26256339999999767,PASS,0.8552891556541312,0.0224638757737331
vowel0,SpeakerNumber,none,No Resampling,decision_tree,988,13,15,5,883,15,33,57,0.8386214218628774,0.8386214218628774,0.0,0.07445689999999416,PASS,0.8512122885397319,-0.012590866676854495
vowel0,SpeakerNumber,none,No Resampling,random_forest,988,13,15,5,894,4,26,64,0.8968124660567323,0.8968124660567323,0.0,2.7412744000000018,PASS,0.9125866035090584,-0.015774137452326142
vowel0,SpeakerNumber,none,No Resampling,xgboost,988,13,15,5,892,6,21,69,0.9107273731238391,0.9107273731238391,0.0,1.3705630999999983,PASS,0.9107273731238392,-1.1102230246251565e-16
vowel0,SpeakerNumber,ros,Random Oversampling,logistic_regression,988,13,15,5,834,64,13,77,0.8112702960840497,0.8112702960840497,0.0,0.2771228000000008,PASS,0.7947376782724529,0.01653261781159676
vowel0,SpeakerNumber,ros,Random Oversampling,decision_tree,988,13,15,5,882,16,33,57,0.8361797380202288,0.8361797380202288,0.0,0.08703170000000426,PASS,0.8503030303030303,-0.014123292282801514
vowel0,SpeakerNumber,ros,Random Oversampling,random_forest,988,13,15,5,892,6,29,61,0.8789143611489479,0.8789143611489479,0.0,2.7578435,PASS,0.8760213538697614,0.0028930072791865102
vowel0,SpeakerNumber,ros,Random Oversampling,xgboost,988,13,15,5,881,17,17,73,0.8960900767136848,0.8960900767136848,0.0,1.581034299999999,PASS,0.9038134808101173,-0.007723404096432462
vowel0,SpeakerNumber,rus,Random Undersampling,logistic_regression,988,13,15,5,813,85,7,83,0.7949301062168919,0.7949301062168919,0.0,0.15071839999999526,PASS,0.7741019214703425,0.02082818474654935
vowel0,SpeakerNumber,rus,Random Undersampling,decision_tree,988,13,15,5,843,55,13,77,0.8274625823086484,0.8274625823086484,0.0,0.06344959999999844,PASS,0.8071640625802541,0.02029851972839436
vowel0,SpeakerNumber,rus,Random Undersampling,random_forest,988,13,15,5,859,39,12,78,0.8623966705172004,0.8623966705172004,0.0,2.0614056999999946,PASS,0.8774524079167341,-0.015055737399533697
vowel0,SpeakerNumber,rus,Random Undersampling,xgboost,988,13,15,5,856,42,5,85,0.8783452055655838,0.8783452055655838,0.0,1.1075408999999965,PASS,0.8847104501044905,-0.006365244538906634
vowel0,SpeakerNumber,smote,SMOTE,logistic_regression,988,13,15,5,836,62,14,76,0.8115942028985508,0.8115942028985508,0.0,0.2743340000000032,PASS,0.7964026023727517,0.015191600525799043
vowel0,SpeakerNumber,smote,SMOTE,decision_tree,988,13,15,5,876,22,25,65,0.8541688257443714,0.8541688257443714,0.0,0.11974790000000013,PASS,0.850373999157185,0.0037948265871863285
vowel0,SpeakerNumber,smote,SMOTE,random_forest,988,13,15,5,893,5,30,60,0.8774866698552726,0.8774866698552726,0.0,2.7108361000000016,PASS,0.8859649122807018,-0.008478242425429272
vowel0,SpeakerNumber,smote,SMOTE,xgboost,988,13,15,5,881,17,19,71,0.8888652810238591,0.8888652810238591,0.0,1.7100987999999973,PASS,0.8888652810238591,0.0
vowel0,SpeakerNumber,adasyn,ADASYN,logistic_regression,988,13,15,5,852,46,19,71,0.8246232075219221,0.8246232075219221,0.0,0.2791003000000032,PASS,0.80950569840075,0.015117509121172046
vowel0,SpeakerNumber,adasyn,ADASYN,decision_tree,988,13,15,5,876,22,27,63,0.8463964464186563,0.8463964464186563,0.0,0.17896430000000407,PASS,0.8828029071650012,-0.036406460746344904
vowel0,SpeakerNumber,adasyn,ADASYN,random_forest,988,13,15,5,893,5,32,58,0.8689368598051764,0.8689368598051764,0.0,2.8377894999999995,PASS,0.8618523657405914,0.007084494064585001
vowel0,SpeakerNumber,adasyn,ADASYN,xgboost,988,13,15,5,884,14,13,77,0.9178934732759815,0.9178934732759815,0.0,1.917429399999996,PASS,0.9084482413322056,0.00944523194377589
vowel0,SpeakerNumber,smote_tomek,SMOTE-Tomek,logistic_regression,988,13,15,5,836,62,14,76,0.8115942028985508,0.8115942028985508,0.0,0.4103989000000041,PASS,0.7964026023727517,0.015191600525799043
vowel0,SpeakerNumber,smote_tomek,SMOTE-Tomek,decision_tree,988,13,15,5,876,22,25,65,0.8541688257443714,0.8541688257443714,0.0,0.22728759999999681,PASS,0.850373999157185,0.0037948265871863285
vowel0,SpeakerNumber,smote_tomek,SMOTE-Tomek,random_forest,988,13,15,5,893,5,30,60,0.8774866698552726,0.8774866698552726,0.0,3.0184849000000042,PASS,0.8859649122807018,-0.008478242425429272
vowel0,SpeakerNumber,smote_tomek,SMOTE-Tomek,xgboost,988,13,15,5,881,17,19,71,0.8888652810238591,0.8888652810238591,0.0,2.244538900000009,PASS,0.8888652810238591,0.0
vowel0,SpeakerNumber,smote_enn,SMOTE-ENN,logistic_regression,988,13,15,5,836,62,14,76,0.8115942028985508,0.8115942028985508,0.0,0.6916788999999994,PASS,0.7980788882076435,0.013515314690907276
vowel0,SpeakerNumber,smote_enn,SMOTE-ENN,decision_tree,988,13,15,5,876,22,25,65,0.8541688257443714,0.8541688257443714,0.0,0.3482297999999986,PASS,0.850373999157185,0.0037948265871863285
vowel0,SpeakerNumber,smote_enn,SMOTE-ENN,random_forest,988,13,15,5,890,8,27,63,0.8816624745478501,0.8816624745478501,0.0,6.227877100000001,PASS,0.9036916349862836,-0.022029160438433504
vowel0,SpeakerNumber,smote_enn,SMOTE-ENN,xgboost,988,13,15,5,881,17,19,71,0.8888652810238591,0.8888652810238591,0.0,2.1901823999999976,PASS,0.8888652810238591,0.0
