classifier,lodo_mae,nested_mae,difference_mae,lodo_rmse,nested_rmse,difference_rmse,lodo_selected_improvement,nested_selected_improvement,difference_selected_improvement,lodo_oracle_improvement,nested_oracle_improvement,difference_oracle_improvement,lodo_gap_to_oracle,nested_gap_to_oracle,difference_gap_to_oracle,lodo_regret,nested_regret,difference_regret,lodo_top-1_accuracy,nested_top-1_accuracy,difference_top-1_accuracy,lodo_top-3_accuracy,nested_top-3_accuracy,difference_top-3_accuracy
logistic_regression,0.050124803247580924,0.0428079041940653,-0.007316899053515624,0.06253188169948681,0.05458865845509116,-0.007943223244395656,0.00493227621337815,0.0016145455206648918,-0.003317730692713259,0.0224732205225211,0.022473220522521136,3.469446951953614e-17,0.0175409443091429,0.020858675001856234,0.0033177306927133325,0.0175409443091429,0.020858675001856234,0.0033177306927133325,25.0,0.25,-24.75,33.33333333333333,0.25,-33.08333333333333
decision_tree,0.016381412042833266,0.017163993554620734,0.0007825815117874675,0.02225574438836829,0.023054588564699403,0.0007988441763311128,-0.0039795915697852504,-0.008409702830499409,-0.004430111260714158,0.0132771729325752,0.013277172932575252,5.204170427930421e-17,0.017256764502360526,0.021686875763074657,0.004430111260714131,0.017256764502360473,0.021686875763074657,0.004430111260714183,25.0,0.08333333333333333,-24.916666666666668,83.33333333333334,0.5833333333333334,-82.75000000000001
random_forest,0.02044565557092665,0.019907192789043408,-0.0005384627818832421,0.030238499011571232,0.03005126971954975,-0.00018722929202148048,-0.005840382037958225,-0.0029580345081281338,0.002882347529830091,0.015916317973717,0.015916317973717033,3.469446951953614e-17,0.021756700011675276,0.018874352481845158,-0.0028823475298301177,0.021756700011675224,0.018874352481845158,-0.0028823475298300656,27.083333333333336,0.25,-26.833333333333336,54.16666666666667,0.3333333333333333,-53.833333333333336
xgboost,0.014167937445358816,0.012953959505350311,-0.0012139779400085048,0.021009841999245323,0.02036619852523987,-0.0006436434740054522,-0.0054014272502769505,-0.00855139228645865,-0.0031499650361816994,0.010772365549941,0.010772365549941066,6.591949208711867e-17,0.01617379280021805,0.01932375783639971,0.0031499650361816595,0.01617379280021805,0.01932375783639971,0.0031499650361816595,22.916666666666664,0.25,-22.666666666666664,47.91666666666667,0.5,-47.41666666666667
