protocol,mae,rmse,selected_improvement,oracle_improvement,gap_to_oracle,regret,top1_accuracy,top3_accuracy
LODO,0.02527995207667491,0.034008991774667915,-0.002572281161160569,0.015609769244688574,0.01818205040584919,0.01818205040584916,25.0,54.6875
Nested,0.02320826251076994,0.032015178816145046,-0.004576146026105325,0.01560976924468862,0.02018591527079394,0.02018591527079394,0.20833333333333331,0.4166666666666667
