classifier,mae_difference_nested_minus_lodo,rmse_difference_nested_minus_lodo,selected_improvement_difference_nested_minus_lodo,regret_difference_nested_minus_lodo,top1_difference_nested_minus_lodo,top3_difference_nested_minus_lodo
decision_tree,0.0007825815117874987,0.0007988441763311996,-0.0044301112607142,0.004430111260714201,-16.66666666666667,-25.000000000000007
logistic_regression,-0.007316899053515603,-0.007943223244395697,-0.0033177306927133004,0.003317730692713298,0.0,-8.333333333333329
random_forest,-0.0005384627818832005,-0.0001872292920215013,0.0028823475298301,-0.0028823475298301003,-2.0833333333333357,-20.833333333333343
xgboost,-0.0012139779400084996,-0.0006436434740054973,-0.0031499650361816994,0.003149965036181701,2.0833333333333357,2.0833333333333286
