classifier,LODO_MAE,Nested_MAE,LODO_RMSE,Nested_RMSE,LODO_Selected_Improvement,Nested_Selected_Improvement,LODO_Regret,Nested_Regret,LODO_Top1_Percent,Nested_Top1_Percent,LODO_Top3_Percent,Nested_Top3_Percent
decision_tree,0.0163814120428332,0.0171639935546207,0.0222557443883682,0.0230545885646994,-0.0039795915697852,-0.0084097028304994,0.0172567645023604,0.0216868757630746,25.0,8.33333333333333,83.33333333333334,58.333333333333336
logistic_regression,0.0501248032475809,0.0428079041940653,0.0625318816994868,0.0545886584550911,0.0049322762133781,0.0016145455206648,0.0175409443091429,0.0208586750018562,25.0,25.0,33.33333333333333,25.0
random_forest,0.0204456555709266,0.0199071927890434,0.0302384990115712,0.0300512697195497,-0.0058403820379582,-0.0029580345081281,0.0217567000116752,0.0188743524818451,27.083333333333336,25.0,54.16666666666667,33.33333333333333
xgboost,0.0141679374453588,0.0129539595053503,0.0210098419992453,0.0203661985252398,-0.0054014272502769,-0.0085513922864586,0.016173792800218,0.0193237578363997,22.916666666666664,25.0,47.91666666666667,50.0
