classifier,lodo_mae,lodo_rmse,lodo_meta_models,lodo_selected_improvement,lodo_oracle_improvement,lodo_gap_to_oracle,lodo_regret,lodo_top1_accuracy,lodo_top3_accuracy,nested_test_rows,nested_mae,nested_rmse,nested_selected_improvement,nested_oracle_improvement,nested_gap_to_oracle,nested_regret,nested_top1_accuracy,nested_top3_accuracy
decision_tree,0.016381412042833266,0.02225574438836829,4,-0.0039795915697852504,0.0132771729325752,0.017256764502360526,0.017256764502360473,25.0,83.33333333333334,82,0.017163993554620734,0.023054588564699403,-0.008409702830499409,0.013277172932575252,0.021686875763074657,0.021686875763074657,0.08333333333333333,0.5833333333333334
logistic_regression,0.050124803247580924,0.06253188169948681,4,0.00493227621337815,0.0224732205225211,0.0175409443091429,0.0175409443091429,25.0,33.33333333333333,82,0.0428079041940653,0.05458865845509116,0.0016145455206648918,0.022473220522521136,0.020858675001856234,0.020858675001856234,0.25,0.25
random_forest,0.02044565557092665,0.030238499011571232,4,-0.005840382037958225,0.015916317973717,0.021756700011675276,0.021756700011675224,27.083333333333336,54.16666666666667,82,0.019907192789043408,0.03005126971954975,-0.0029580345081281338,0.015916317973717033,0.018874352481845158,0.018874352481845158,0.25,0.3333333333333333
xgboost,0.014167937445358816,0.021009841999245323,4,-0.0054014272502769505,0.010772365549941,0.01617379280021805,0.01617379280021805,22.916666666666664,47.91666666666667,82,0.012953959505350311,0.02036619852523987,-0.00855139228645865,0.010772365549941066,0.01932375783639971,0.01932375783639971,0.25,0.5
