dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
vehicle2,xgboost,ridge,adasyn,ros,0.9767920335774832,0.9737762907181342,0.9815166808677984,-0.0030157428593490243,0.004724647290315187,0.007740390149664211,0.0077403901496642,False,True
vowel0,xgboost,ridge,adasyn,none,0.9107273731238392,0.9084482413322056,0.9107273731238392,-0.0022791317916336373,0.0,0.0022791317916336373,0.0022791317916336,False,False
wisconsin,xgboost,ridge,adasyn,smote_enn,0.9663060713908171,0.9614559819413092,0.9680009744944807,-0.004850089449507933,0.001694903103663603,0.006544992553171536,0.0065449925531715,False,False
yeast1,xgboost,ridge,adasyn,smote_tomek,0.6963947375929667,0.7056528925619834,0.7104116832431071,0.009258154969016719,0.014016945650140444,0.004758790681123726,0.0047587906811237,False,False
ecoli-0_vs_1,logistic_regression,random_forest,adasyn,smote_tomek,0.9798976608187132,0.9702058504875406,0.9849695975951356,-0.009691810331172612,0.00507193677642237,0.014763747107594982,0.0147637471075949,False,False
glass1,logistic_regression,random_forest,smote_tomek,smote_enn,0.5015185021376971,0.5958717610891524,0.61023457900858,0.0943532589514553,0.10871607687088292,0.014362817919427617,0.0143628179194276,False,False
haberman,logistic_regression,random_forest,none,smote_enn,0.5344040574809805,0.5344040574809805,0.6425233644859814,0.0,0.10811930700500083,0.10811930700500083,0.1081193070050008,False,False
iris0,logistic_regression,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,logistic_regression,random_forest,rus,none,0.847852850384496,0.8166609947249479,0.847852850384496,-0.031191855659548073,0.0,0.031191855659548073,0.031191855659548,False,False
pima,logistic_regression,random_forest,smote_tomek,none,0.737580065691888,0.7312941855432118,0.737580065691888,-0.0062858801486762594,0.0,0.0062858801486762594,0.0062858801486762,False,False
segment0,logistic_regression,random_forest,none,none,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.0,True,True
shuttle-c0-vs-c4,logistic_regression,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.0,True,True
vehicle2,logistic_regression,random_forest,none,ros,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.0097836710296483,False,False
vowel0,logistic_regression,random_forest,ros,none,0.8552891556541312,0.7947376782724529,0.8552891556541312,-0.06055147738167832,0.0,0.06055147738167832,0.0605514773816783,False,False
wisconsin,logistic_regression,random_forest,smote,smote_enn,0.9677556415824756,0.9663060713908171,0.9680602319491208,-0.001449570191658478,0.00030459036664520767,0.0017541605583036857,0.0017541605583036,False,False
yeast1,logistic_regression,random_forest,none,rus,0.6456136985304575,0.6456136985304575,0.6832967627521116,0.0,0.03768306422165413,0.03768306422165413,0.0376830642216541,False,False
ecoli-0_vs_1,decision_tree,random_forest,smote_enn,smote_enn,0.9702058504875406,0.9899488304093568,0.9899488304093568,0.019742979921816173,0.019742979921816173,0.0,0.0,True,True
glass1,decision_tree,random_forest,smote_enn,none,0.7609506833036244,0.6935513673318552,0.7609506833036244,-0.06739931597176918,0.0,0.06739931597176918,0.0673993159717691,False,False
haberman,decision_tree,random_forest,smote_enn,smote_enn,0.5658193101802125,0.6397058823529411,0.6397058823529411,0.07388657217272865,0.07388657217272865,0.0,0.0,True,True
iris0,decision_tree,random_forest,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,decision_tree,random_forest,adasyn,none,0.9124443797226672,0.897287077342479,0.9124443797226672,-0.015157302380188198,0.0,0.015157302380188198,0.0151573023801881,False,True
pima,decision_tree,random_forest,none,smote_enn,0.6715751896474788,0.6715751896474788,0.7012961643040045,0.0,0.02972097465652579,0.02972097465652579,0.0297209746565257,False,True
segment0,decision_tree,random_forest,none,adasyn,0.9849535772068706,0.9849535772068706,0.989338507021434,0.0,0.004384929814563399,0.004384929814563399,0.0043849298145633,False,True
shuttle-c0-vs-c4,decision_tree,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,decision_tree,random_forest,adasyn,none,0.9507111489807956,0.9460100103020412,0.9507111489807956,-0.004701138678754324,0.0,0.004701138678754324,0.0047011386787543,False,True
vowel0,decision_tree,random_forest,smote_enn,adasyn,0.8512122885397319,0.850373999157185,0.8828029071650012,-0.0008382893825468196,0.03159061862526935,0.03242890800781617,0.0324289080078161,False,False
wisconsin,decision_tree,random_forest,smote_enn,none,0.953291215956496,0.9469512065958534,0.953291215956496,-0.006340009360642607,0.0,0.006340009360642607,0.0063400093606426,False,True
yeast1,decision_tree,random_forest,smote_enn,none,0.6783822319268029,0.6692266519486466,0.6783822319268029,-0.009155579978156303,0.0,0.009155579978156303,0.0091555799781563,False,True
ecoli-0_vs_1,random_forest,random_forest,ros,none|ros|smote_enn,0.9899488304093568,0.9899488304093568,0.9899488304093568,0.0,0.0,0.0,0.0,True,True
glass1,random_forest,random_forest,none,ros,0.8335967090576166,0.8335967090576166,0.8572169916228037,0.0,0.023620282565187112,0.023620282565187112,0.0236202825651871,False,True
haberman,random_forest,random_forest,smote_tomek,smote_enn,0.529559748427673,0.5701550597006861,0.655656819221685,0.04059531127301319,0.126097070794012,0.08550175952099881,0.0855017595209988,False,False
iris0,random_forest,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
