meta_model,classifier,datasets,mean_baseline_macro_f1,mean_selected_macro_f1,mean_oracle_macro_f1,mean_selected_improvement,mean_oracle_improvement,mean_gap_to_oracle,mean_regret,top1_accuracy,top3_accuracy
gradient_boosting,decision_tree,12,0.858295489662685,0.8547046971016581,0.8715726625952603,-0.0035907925610269378,0.01327717293257528,0.016867965493602217,0.016867965493602175,25.0,91.66666666666666
gradient_boosting,logistic_regression,12,0.8337024945926549,0.8452883145707135,0.8561757151151759,0.011585819978058779,0.022473220522521153,0.010887400544462375,0.010887400544462333,33.33333333333333,50.0
gradient_boosting,random_forest,12,0.8826875725185327,0.8809987474401332,0.8986038904922498,-0.001688825078399551,0.015916317973717054,0.017605143052116606,0.017605143052116568,25.0,41.66666666666667
gradient_boosting,xgboost,12,0.8798558348490212,0.8783005809844084,0.8906282003989623,-0.0015552538646127951,0.01077236554994109,0.012327619414553884,0.012327619414553842,25.0,50.0
random_forest,decision_tree,12,0.858295489662685,0.857465316024559,0.8715726625952603,-0.0008301736381260508,0.01327717293257528,0.014107346570701331,0.014107346570701292,33.33333333333333,83.33333333333334
random_forest,logistic_regression,12,0.8337024945926549,0.8324677166958816,0.8561757151151759,-0.0012347778967732037,0.022473220522521153,0.023707998419294357,0.023707998419294316,25.0,25.0
random_forest,random_forest,12,0.8826875725185327,0.8843817549573475,0.8986038904922498,0.0016941824388147693,0.015916317973717054,0.014222135534902286,0.014222135534902267,41.66666666666667,75.0
random_forest,xgboost,12,0.8798558348490212,0.8725183359828393,0.8906282003989623,-0.007337498866181884,0.01077236554994109,0.018109864416122973,0.018109864416122935,25.0,50.0
ridge,decision_tree,12,0.858295489662685,0.8492036540990954,0.8715726625952603,-0.009091835563589714,0.01327717293257528,0.022369008496164994,0.022369008496164963,16.666666666666664,83.33333333333334
ridge,logistic_regression,12,0.8337024945926549,0.8432058546737823,0.8561757151151759,0.009503360081127473,0.022473220522521153,0.01296986044139368,0.012969860441393642,16.666666666666664,25.0
ridge,random_forest,12,0.8826875725185327,0.8699077042125823,0.8986038904922498,-0.012779868305950395,0.015916317973717054,0.02869618627966745,0.028696186279667416,16.666666666666664,41.66666666666667
ridge,xgboost,12,0.8798558348490212,0.8779061572764063,0.8906282003989623,-0.0019496775726149662,0.01077236554994109,0.012722043122556056,0.012722043122556025,16.666666666666664,41.66666666666667
xgboost,decision_tree,12,0.858295489662685,0.8558899251462866,0.8715726625952603,-0.002405564516398497,0.01327717293257528,0.015682737448973777,0.015682737448973732,25.0,75.0
xgboost,logistic_regression,12,0.8337024945926549,0.8335771972837546,0.8561757151151759,-0.00012529730890030918,0.022473220522521153,0.02259851783142146,0.022598517831421406,25.0,33.33333333333333
xgboost,random_forest,12,0.8826875725185327,0.8721005553122348,0.8986038904922498,-0.010587017206297863,0.015916317973717054,0.02650333518001492,0.02650333518001488,25.0,58.333333333333336
xgboost,xgboost,12,0.8798558348490212,0.8690925561513226,0.8906282003989623,-0.010763278697698497,0.01077236554994109,0.021535644247639586,0.02153564424763955,25.0,50.0
