resampling,logistic_regression,decision_tree,random_forest,xgboost,Mean
No Resampling,0.8337024945926549,0.858295489662685,0.8826875725185327,0.8798558348490212,0.8636353479057234
Random Oversampling,0.8445112099202906,0.8504060783624153,0.8835462500169844,0.881758485732571,0.8650555060080654
Random Undersampling,0.8386524395014003,0.8328491380734695,0.8762986019158238,0.8716740118645235,0.8548685478388043
SMOTE,0.8453163701212093,0.8480385066132249,0.8826926404441481,0.8796511124190034,0.8639246573993964
ADASYN,0.7957503165656434,0.8245724325874176,0.8572363946835233,0.858334771022679,0.8339734787148159
SMOTE-Tomek,0.8451920519783352,0.8506556622859521,0.8843539325998867,0.8774965963430922,0.8644245608018165
SMOTE-ENN,0.8418581612329484,0.8594828646616844,0.8846616318919471,0.8751346988122654,0.8652843391497114
