analysis,datasets,strategies,friedman_statistic,p_value,kendall_w,significant_alpha_0_05
logistic_regression,10,7,11.090252707581216,0.0856267945168218,0.1848375451263536,False
decision_tree,10,7,17.619565217391294,0.0072566890159123,0.2936594202898549,True
random_forest,10,7,9.103825136612034,0.167822666861577,0.1517304189435339,False
xgboost,10,7,10.26838235294117,0.1137954031067661,0.1711397058823528,False
ALL_CLASSIFIERS,10,7,11.69892473118281,0.0690324823003653,0.1949820788530468,False
