meta_model,classifier,datasets,mean_full_evaluation_time,mean_selected_strategy_time,mean_savings_seconds,mean_savings_percent,mean_regret,top1_accuracy,top3_accuracy
gradient_boosting,decision_tree,12,2.142551066666667,0.3174588999999999,1.825092166666667,83.30154016937199,0.0168679654936021,25.0,91.66666666666666
gradient_boosting,logistic_regression,12,2.7203540416666665,0.2623612166666665,2.457992825,87.85933343481236,0.0108874005444623,33.33333333333333,50.0
gradient_boosting,random_forest,12,27.69396288333333,3.6774431166666655,24.016519766666665,86.48915156435244,0.0176051430521165,25.0,41.66666666666667
gradient_boosting,xgboost,12,13.120100900000002,1.9232252999999992,11.196875600000004,85.466053918851,0.0123276194145538,25.0,50.0
random_forest,decision_tree,12,2.142551066666667,0.2974798166666668,1.84507125,84.36071349214815,0.0141073465707012,33.33333333333333,83.33333333333334
random_forest,logistic_regression,12,2.7203540416666665,0.2512459250000001,2.469108116666666,87.58030845820365,0.0237079984192943,25.0,25.0
random_forest,random_forest,12,27.69396288333333,4.069373916666666,23.624588966666668,85.37967470752083,0.0142221355349022,41.66666666666667,75.0
random_forest,xgboost,12,13.120100900000002,1.7694521083333334,11.35064879166667,85.93565838783611,0.0181098644161229,25.0,50.0
ridge,decision_tree,12,2.142551066666667,0.575923475,1.5666275916666672,78.1517753836308,0.0223690084961649,16.666666666666664,83.33333333333334
ridge,logistic_regression,12,2.7203540416666665,0.3088866666666665,2.4114673749999995,86.35772361614852,0.0129698604413936,16.666666666666664,25.0
ridge,random_forest,12,27.69396288333333,4.244482200000001,23.44948068333333,84.70189012158207,0.0286961862796674,16.666666666666664,41.66666666666667
ridge,xgboost,12,13.120100900000002,2.027031191666666,11.093069708333337,84.78144453330204,0.012722043122556,16.666666666666664,41.66666666666667
xgboost,decision_tree,12,2.142551066666667,0.2797384833333335,1.862812583333333,86.08253381849103,0.0156827374489737,25.0,75.0
xgboost,logistic_regression,12,2.7203540416666665,0.2716615833333333,2.448692458333333,86.20773089590392,0.0225985178314214,25.0,33.33333333333333
xgboost,random_forest,12,27.69396288333333,4.072562441666666,23.621400441666665,85.28908708579932,0.0265033351800148,25.0,58.333333333333336
xgboost,xgboost,12,13.120100900000002,1.9334213166666665,11.186679583333335,85.4212203897301,0.0215356442476395,25.0,50.0
