analysis,strategy_a,strategy_b,datasets,mean_a,mean_b,mean_difference_a_minus_b,permutation_statistic,raw_p_value,rank_biserial_effect,holm_adjusted_p_value,significant_alpha_0_05
logistic_regression,No Resampling,Random Oversampling,10,0.8006617250119898,0.8136321834051529,-0.01297045839316302,-0.1297045839316292,0.404296875,-0.09090909090909091,1.0,False
logistic_regression,No Resampling,Random Undersampling,10,0.8006617250119898,0.8066016589024846,-0.005939933890494742,-0.0593993389049462,0.751953125,0.05454545454545454,1.0,False
logistic_regression,No Resampling,SMOTE,10,0.8006617250119898,0.8145983756462556,-0.013936650634265746,-0.1393665063426548,0.3671875,-0.05454545454545454,1.0,False
logistic_regression,No Resampling,ADASYN,10,0.8006617250119898,0.7957503165656435,0.004911408446346299,0.0491140844634651,0.703125,0.23636363636363636,1.0,False
logistic_regression,No Resampling,SMOTE-Tomek,10,0.8006617250119898,0.8144491938748064,-0.013787468862816565,-0.13787468862816443,0.357421875,-0.12727272727272726,1.0,False
logistic_regression,No Resampling,SMOTE-ENN,10,0.8006617250119898,0.8104485249803423,-0.009786799968352411,-0.09786799968352289,0.576171875,0.12727272727272726,1.0,False
logistic_regression,Random Oversampling,Random Undersampling,10,0.8136321834051529,0.8066016589024846,0.007030524502668278,0.070305245026683,0.171875,0.45454545454545453,1.0,False
logistic_regression,Random Oversampling,SMOTE,10,0.8136321834051529,0.8145983756462556,-0.0009661922411027257,-0.009661922411025592,0.509765625,-0.38181818181818183,1.0,False
logistic_regression,Random Oversampling,ADASYN,10,0.8136321834051529,0.7957503165656435,0.01788186683950932,0.1788186683950943,0.021484375,0.7818181818181819,0.408203125,False
logistic_regression,Random Oversampling,SMOTE-Tomek,10,0.8136321834051529,0.8144491938748064,-0.0008170104696535452,-0.00817010469653523,0.69140625,-0.2,1.0,False
logistic_regression,Random Oversampling,SMOTE-ENN,10,0.8136321834051529,0.8104485249803423,0.0031836584248106092,0.031836584248106314,0.4453125,0.15555555555555556,1.0,False
logistic_regression,Random Undersampling,SMOTE,10,0.8066016589024846,0.8145983756462556,-0.007996716743771004,-0.0799671674377086,0.08203125,-0.6444444444444445,1.0,False
logistic_regression,Random Undersampling,ADASYN,10,0.8066016589024846,0.7957503165656435,0.010851342336841041,0.1085134233684113,0.1875,0.5636363636363636,1.0,False
logistic_regression,Random Undersampling,SMOTE-Tomek,10,0.8066016589024846,0.8144491938748064,-0.007847534972321824,-0.07847534972321824,0.044921875,-0.7454545454545455,0.80859375,False
logistic_regression,Random Undersampling,SMOTE-ENN,10,0.8066016589024846,0.8104485249803423,-0.003846866077857669,-0.03846866077857669,0.525390625,-0.23636363636363636,1.0,False
logistic_regression,SMOTE,ADASYN,10,0.8145983756462556,0.7957503165656435,0.018848059080612045,0.1884805908061199,0.015625,0.8545454545454545,0.3125,False
logistic_regression,SMOTE,SMOTE-Tomek,10,0.8145983756462556,0.8144491938748064,0.00014918177144918054,0.0014918177144903622,0.96875,-0.047619047619047616,1.0,False
logistic_regression,SMOTE,SMOTE-ENN,10,0.8145983756462556,0.8104485249803423,0.004149850665913335,0.041498506659131906,0.341796875,0.2,1.0,False
logistic_regression,ADASYN,SMOTE-Tomek,10,0.7957503165656435,0.8144491938748064,-0.018698877309162865,-0.18698877309162953,0.009765625,-0.8909090909090909,0.205078125,False
logistic_regression,ADASYN,SMOTE-ENN,10,0.7957503165656435,0.8104485249803423,-0.01469820841469871,-0.146982084146988,0.154296875,-0.2727272727272727,1.0,False
logistic_regression,SMOTE-Tomek,SMOTE-ENN,10,0.8144491938748064,0.8104485249803423,0.004000668894464154,0.040006688944641544,0.353515625,0.2,1.0,False
decision_tree,No Resampling,Random Oversampling,10,0.8299545875952221,0.8204872940348984,0.00946729356032372,0.0946729356032352,0.044921875,0.6727272727272727,0.583984375,False
decision_tree,No Resampling,Random Undersampling,10,0.8299545875952221,0.7994189656881632,0.03053562190705894,0.3053562190705874,0.001953125,1.0,0.041015625,True
decision_tree,No Resampling,SMOTE,10,0.8299545875952221,0.8176462079358698,0.012308379659352275,0.12308379659352198,0.029296875,0.6727272727272727,0.41015625,False
decision_tree,No Resampling,ADASYN,10,0.8299545875952221,0.8245724325874176,0.005382155007804479,0.053821550078043234,0.33203125,0.4909090909090909,1.0,False
decision_tree,No Resampling,SMOTE-Tomek,10,0.8299545875952221,0.8207867947431426,0.00916779285207947,0.09167792852079493,0.01171875,0.9111111111111111,0.22265625,False
decision_tree,No Resampling,SMOTE-ENN,10,0.8299545875952221,0.8313794375940213,-0.0014248499987992158,-0.014248499987994045,0.880859375,0.01818181818181818,1.0,False
decision_tree,Random Oversampling,Random Undersampling,10,0.8204872940348984,0.7994189656881632,0.02106832834673522,0.2106832834673522,0.01171875,0.8545454545454545,0.22265625,False
decision_tree,Random Oversampling,SMOTE,10,0.8204872940348984,0.8176462079358698,0.002841086099028556,0.02841086099028678,0.296875,0.4666666666666667,1.0,False
decision_tree,Random Oversampling,ADASYN,10,0.8204872940348984,0.8245724325874176,-0.004085138552519241,-0.04085138552519196,0.578125,-0.1111111111111111,1.0,False
decision_tree,Random Oversampling,SMOTE-Tomek,10,0.8204872940348984,0.8207867947431426,-0.0002995007082442491,-0.002995007082440271,0.947265625,0.2,1.0,False
decision_tree,Random Oversampling,SMOTE-ENN,10,0.8204872940348984,0.8313794375940213,-0.010892143559122935,-0.10892143559122924,0.544921875,-0.2727272727272727,1.0,False
decision_tree,Random Undersampling,SMOTE,10,0.7994189656881632,0.8176462079358698,-0.018227242247706665,-0.18227242247706543,0.0234375,-0.7454545454545455,0.3515625,False
decision_tree,Random Undersampling,ADASYN,10,0.7994189656881632,0.8245724325874176,-0.025153466899254462,-0.2515346689925442,0.013671875,-0.8545454545454545,0.232421875,False
decision_tree,Random Undersampling,SMOTE-Tomek,10,0.7994189656881632,0.8207867947431426,-0.02136782905497947,-0.21367829054979248,0.0078125,-0.8909090909090909,0.15625,False
decision_tree,Random Undersampling,SMOTE-ENN,10,0.7994189656881632,0.8313794375940213,-0.03196047190585816,-0.31960471905858145,0.01953125,-0.7818181818181819,0.3125,False
decision_tree,SMOTE,ADASYN,10,0.8176462079358698,0.8245724325874176,-0.0069262246515477965,-0.06926224651547874,0.248046875,-0.45454545454545453,1.0,False
decision_tree,SMOTE,SMOTE-Tomek,10,0.8176462079358698,0.8207867947431426,-0.003140586807272805,-0.03140586807272705,0.4921875,-0.16666666666666666,1.0,False
decision_tree,SMOTE,SMOTE-ENN,10,0.8176462079358698,0.8313794375940213,-0.013733229658151491,-0.13733229658151602,0.24609375,-0.5555555555555556,1.0,False
decision_tree,ADASYN,SMOTE-Tomek,10,0.8245724325874176,0.8207867947431426,0.0037856378442749916,0.03785637844275169,0.47265625,0.2,1.0,False
decision_tree,ADASYN,SMOTE-ENN,10,0.8245724325874176,0.8313794375940213,-0.006807005006603695,-0.06807005006603728,0.5703125,-0.12727272727272726,1.0,False
decision_tree,SMOTE-Tomek,SMOTE-ENN,10,0.8207867947431426,0.8313794375940213,-0.010592642850878686,-0.10592642850878897,0.42578125,-0.4222222222222222,1.0,False
random_forest,No Resampling,Random Oversampling,10,0.8592250870222393,0.8602555000203811,-0.001030412998141772,-0.010304129981420052,0.9296875,0.022222222222222223,1.0,False
random_forest,No Resampling,Random Undersampling,10,0.8592250870222393,0.8515583222989885,0.007666764723250785,0.07666764723250585,0.50390625,0.45454545454545453,1.0,False
random_forest,No Resampling,SMOTE,10,0.8592250870222393,0.8592311685329778,-6.0815107384426526e-06,-6.081510738520368e-05,1.0,0.01818181818181818,1.0,False
random_forest,No Resampling,ADASYN,10,0.8592250870222393,0.8572363946835235,0.0019886923387157918,0.01988692338715814,0.791015625,0.2727272727272727,1.0,False
random_forest,No Resampling,SMOTE-Tomek,10,0.8592250870222393,0.8612247191198639,-0.0019996320976245485,-0.01999632097624804,0.77734375,0.05454545454545454,1.0,False
random_forest,No Resampling,SMOTE-ENN,10,0.8592250870222393,0.8615939582703366,-0.0023688712480972596,-0.02368871248097426,0.97265625,0.4222222222222222,1.0,False
random_forest,Random Oversampling,Random Undersampling,10,0.8602555000203811,0.8515583222989885,0.008697177721392557,0.0869717772139259,0.275390625,0.5272727272727272,1.0,False
random_forest,Random Oversampling,SMOTE,10,0.8602555000203811,0.8592311685329778,0.0010243314874033294,0.010243314874034848,0.71484375,0.15555555555555556,1.0,False
random_forest,Random Oversampling,ADASYN,10,0.8602555000203811,0.8572363946835235,0.0030191053368575638,0.03019105336857819,0.619140625,0.12727272727272726,1.0,False
random_forest,Random Oversampling,SMOTE-Tomek,10,0.8602555000203811,0.8612247191198639,-0.0009692190994827765,-0.009692190994827987,0.85546875,-0.3333333333333333,1.0,False
random_forest,Random Oversampling,SMOTE-ENN,10,0.8602555000203811,0.8615939582703366,-0.0013384582499554876,-0.01338458249955421,0.8671875,-0.022222222222222223,1.0,False
random_forest,Random Undersampling,SMOTE,10,0.8515583222989885,0.8592311685329778,-0.007672846233989228,-0.07672846233989106,0.365234375,-0.6363636363636364,1.0,False
random_forest,Random Undersampling,ADASYN,10,0.8515583222989885,0.8572363946835235,-0.005678072384534993,-0.056780723845347714,0.228515625,-0.4909090909090909,1.0,False
random_forest,Random Undersampling,SMOTE-Tomek,10,0.8515583222989885,0.8612247191198639,-0.009666396820875334,-0.09666396820875389,0.13671875,-0.6727272727272727,1.0,False
random_forest,Random Undersampling,SMOTE-ENN,10,0.8515583222989885,0.8615939582703366,-0.010035635971348045,-0.10035635971348011,0.21875,-0.41818181818181815,1.0,False
random_forest,SMOTE,ADASYN,10,0.8592311685329778,0.8572363946835235,0.0019947738494542344,0.019947738494543343,0.787109375,0.38181818181818183,1.0,False
random_forest,SMOTE,SMOTE-Tomek,10,0.8592311685329778,0.8612247191198639,-0.001993550586886106,-0.019935505868862835,0.53125,-0.5,1.0,False
random_forest,SMOTE,SMOTE-ENN,10,0.8592311685329778,0.8615939582703366,-0.002362789737358817,-0.023627897373589057,0.845703125,0.05454545454545454,1.0,False
random_forest,ADASYN,SMOTE-Tomek,10,0.8572363946835235,0.8612247191198639,-0.00398832443634034,-0.03988324436340618,0.373046875,-0.45454545454545453,1.0,False
random_forest,ADASYN,SMOTE-ENN,10,0.8572363946835235,0.8615939582703366,-0.004357563586813051,-0.0435756358681324,0.6640625,-0.1111111111111111,1.0,False
random_forest,SMOTE-Tomek,SMOTE-ENN,10,0.8612247191198639,0.8615939582703366,-0.00036923915047271105,-0.0036923915047262224,0.9765625,0.12727272727272726,1.0,False
xgboost,No Resampling,Random Oversampling,10,0.8558270018188254,0.8581101828790851,-0.002283181060259709,-0.022831810602596092,0.30078125,-0.3090909090909091,1.0,False
xgboost,No Resampling,Random Undersampling,10,0.8558270018188254,0.8468674996834376,0.008959502135387876,0.08959502135387953,0.10546875,0.6,1.0,False
xgboost,No Resampling,SMOTE,10,0.8558270018188254,0.8555813349028043,0.00024566691602112556,0.002456669160213365,0.94140625,0.06666666666666667,1.0,False
xgboost,No Resampling,ADASYN,10,0.8558270018188254,0.858334771022679,-0.002507769203853538,-0.025077692038533606,0.8984375,0.3090909090909091,1.0,False
xgboost,No Resampling,SMOTE-Tomek,10,0.8558270018188254,0.8529959156117106,0.002831086207114808,0.028310862071147747,0.4921875,0.2777777777777778,1.0,False
xgboost,No Resampling,SMOTE-ENN,10,0.8558270018188254,0.8501616385747184,0.005665363244107047,0.056653632441071466,0.578125,0.41818181818181815,1.0,False
xgboost,Random Oversampling,Random Undersampling,10,0.8581101828790851,0.8468674996834376,0.011242683195647585,0.11242683195647563,0.037109375,0.7818181818181819,0.705078125,False
xgboost,Random Oversampling,SMOTE,10,0.8581101828790851,0.8555813349028043,0.0025288479762808347,0.025288479762809457,0.30078125,0.5272727272727272,1.0,False
xgboost,Random Oversampling,ADASYN,10,0.8581101828790851,0.858334771022679,-0.00022458814359382906,-0.0022458814359375134,0.9921875,0.45454545454545453,1.0,False
xgboost,Random Oversampling,SMOTE-Tomek,10,0.8581101828790851,0.8529959156117106,0.005114267267374517,0.05114267267374384,0.220703125,0.45454545454545453,1.0,False
xgboost,Random Oversampling,SMOTE-ENN,10,0.8581101828790851,0.8501616385747184,0.007948544304366756,0.07948544304366756,0.53125,0.34545454545454546,1.0,False
xgboost,Random Undersampling,SMOTE,10,0.8468674996834376,0.8555813349028043,-0.00871383521936675,-0.08713835219366617,0.01953125,-0.8666666666666667,0.41015625,False
xgboost,Random Undersampling,ADASYN,10,0.8468674996834376,0.858334771022679,-0.011467271339241414,-0.11467271339241314,0.02734375,-0.7818181818181819,0.546875,False
