analysis,comparison,datasets,rank_biserial_effect,interpretation,holm_adjusted_p_value,significant_alpha_0_05
xgboost,No Resampling vs Random Oversampling,10,-0.3090909090909091,negative,1.0,False
xgboost,No Resampling vs Random Undersampling,10,0.6,positive,1.0,False
xgboost,No Resampling vs SMOTE,10,0.06666666666666667,positive,1.0,False
xgboost,No Resampling vs ADASYN,10,0.3090909090909091,positive,1.0,False
xgboost,No Resampling vs SMOTE-Tomek,10,0.2777777777777778,positive,1.0,False
xgboost,No Resampling vs SMOTE-ENN,10,0.41818181818181815,positive,1.0,False
xgboost,Random Oversampling vs Random Undersampling,10,0.7818181818181819,positive,0.546875,False
xgboost,Random Oversampling vs SMOTE,10,0.5272727272727272,positive,1.0,False
xgboost,Random Oversampling vs ADASYN,10,0.45454545454545453,positive,1.0,False
xgboost,Random Oversampling vs SMOTE-Tomek,10,0.45454545454545453,positive,1.0,False
xgboost,Random Oversampling vs SMOTE-ENN,10,0.34545454545454546,positive,1.0,False
xgboost,Random Undersampling vs SMOTE,10,-0.8666666666666667,negative,0.4384645264933845,False
xgboost,Random Undersampling vs ADASYN,10,-0.7818181818181819,negative,0.546875,False
xgboost,Random Undersampling vs SMOTE-Tomek,10,-0.4666666666666667,negative,1.0,False
xgboost,Random Undersampling vs SMOTE-ENN,10,-0.6363636363636364,negative,1.0,False
xgboost,SMOTE vs ADASYN,10,0.2,positive,1.0,False
xgboost,SMOTE vs SMOTE-Tomek,10,0.07142857142857142,positive,1.0,False
xgboost,SMOTE vs SMOTE-ENN,10,0.24444444444444444,positive,1.0,False
xgboost,ADASYN vs SMOTE-Tomek,10,0.2,positive,1.0,False
xgboost,ADASYN vs SMOTE-ENN,10,0.2,positive,1.0,False
xgboost,SMOTE-Tomek vs SMOTE-ENN,10,0.2,positive,1.0,False
ALL_CLASSIFIERS,No Resampling vs Random Oversampling,10,-0.01818181818181818,negative,1.0,False
ALL_CLASSIFIERS,No Resampling vs Random Undersampling,10,0.6,positive,1.0,False
ALL_CLASSIFIERS,No Resampling vs SMOTE,10,0.09090909090909091,positive,1.0,False
ALL_CLASSIFIERS,No Resampling vs ADASYN,10,0.34545454545454546,positive,1.0,False
ALL_CLASSIFIERS,No Resampling vs SMOTE-Tomek,10,0.05454545454545454,positive,1.0,False
ALL_CLASSIFIERS,No Resampling vs SMOTE-ENN,10,0.41818181818181815,positive,1.0,False
ALL_CLASSIFIERS,Random Oversampling vs Random Undersampling,10,0.7090909090909091,positive,0.9765625,False
ALL_CLASSIFIERS,Random Oversampling vs SMOTE,10,0.2727272727272727,positive,1.0,False
ALL_CLASSIFIERS,Random Oversampling vs ADASYN,10,0.45454545454545453,positive,1.0,False
ALL_CLASSIFIERS,Random Oversampling vs SMOTE-Tomek,10,0.23636363636363636,positive,1.0,False
ALL_CLASSIFIERS,Random Oversampling vs SMOTE-ENN,10,0.12727272727272726,positive,1.0,False
ALL_CLASSIFIERS,Random Undersampling vs SMOTE,10,-0.7090909090909091,negative,0.9765625,False
ALL_CLASSIFIERS,Random Undersampling vs ADASYN,10,-0.6363636363636364,negative,1.0,False
ALL_CLASSIFIERS,Random Undersampling vs SMOTE-Tomek,10,-0.8545454545454545,negative,0.287109375,False
ALL_CLASSIFIERS,Random Undersampling vs SMOTE-ENN,10,-0.6,negative,1.0,False
ALL_CLASSIFIERS,SMOTE vs ADASYN,10,0.38181818181818183,positive,1.0,False
ALL_CLASSIFIERS,SMOTE vs SMOTE-Tomek,10,-0.2222222222222222,negative,1.0,False
ALL_CLASSIFIERS,SMOTE vs SMOTE-ENN,10,0.05454545454545454,positive,1.0,False
ALL_CLASSIFIERS,ADASYN vs SMOTE-Tomek,10,-0.45454545454545453,negative,1.0,False
ALL_CLASSIFIERS,ADASYN vs SMOTE-ENN,10,-0.12727272727272726,negative,1.0,False
ALL_CLASSIFIERS,SMOTE-Tomek vs SMOTE-ENN,10,0.12727272727272726,positive,1.0,False
