analysis,datasets,strategies,friedman_statistic,p_value,kendall_w
logistic_regression,10,7,11.090252707581216,0.0856267945168218,0.18483754512635361
decision_tree,10,7,17.619565217391294,0.007256689015912307,0.2936594202898549
random_forest,10,7,9.103825136612034,0.16782266686157704,0.1517304189435339
xgboost,10,7,10.26838235294117,0.11379540310676617,0.17113970588235283
ALL_CLASSIFIERS,10,7,11.69892473118281,0.06903248230036534,0.19498207885304683
