dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
page-blocks0,none,No Resampling,xgboost,5472,10,10,0,5,4850,63,75,484,0.9747807017543859,0.9265043601237561,0.8848263254113345,0.8658318425760286,0.9859727586907907,0.8752260397830018,0.9305993992368963,0.9305993992368963,0.0,PASS,,3.2135529000000105
page-blocks0,ros,Random Oversampling,xgboost,5472,10,10,0,5,4797,116,35,524,0.9724049707602339,0.956888682393868,0.81875,0.9373881932021467,0.9845048742945101,0.8740617180984154,0.9292832961964628,0.9292832961964628,0.0,PASS,,4.195879500000004
page-blocks0,smote_tomek,SMOTE-Tomek,xgboost,5472,10,10,0,5,4783,130,33,526,0.9702119883040936,0.9572527997896858,0.801829268292683,0.9409660107334525,0.9832459656696473,0.8658436213991768,0.924544793534412,0.924544793534412,0.0,PASS,,6.825229699999994
page-blocks0,smote,SMOTE,xgboost,5472,10,10,0,5,4779,134,39,520,0.9683845029239766,0.9514789902442027,0.7951070336391437,0.9302325581395349,0.9822217654917276,0.8573784006595219,0.9198000830756248,0.9198000830756248,0.0,PASS,,5.688197399999993
page-blocks0,adasyn,ADASYN,xgboost,5472,10,10,0,5,4744,169,26,533,0.9643640350877193,0.959544918796359,0.7592592592592593,0.9534883720930233,0.9798616131364247,0.845360824742268,0.9126112189393464,0.9126112189393464,0.0,PASS,,5.967174700000001
page-blocks0,smote_enn,SMOTE-ENN,xgboost,5472,10,10,0,5,4731,182,26,533,0.9619883040935673,0.958221898238655,0.7454545454545455,0.9534883720930233,0.9784901758014479,0.8367346938775511,0.9076124348394995,0.9076124348394995,0.0,PASS,,6.808481499999999
page-blocks0,rus,Random Undersampling,xgboost,5472,10,10,0,5,4690,223,17,542,0.956140350877193,0.9620993843867189,0.7084967320261438,0.9695885509838998,0.975051975051975,0.8187311178247735,0.8968915464383742,0.8968915464383742,0.0,PASS,,1.761754599999989
