dataset,resampling_code,resampling,classifier,samples,features,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
glass1,ros,Random Oversampling,random_forest,214,9,130,8,19,57,0.8738317757009346,0.8460144927536232,0.8769230769230769,0.75,0.9059233449477352,0.8085106382978723,0.8572169916228037,0.8572169916228037,0.0,PASS,2.7244618999999997
glass1,smote,SMOTE,random_forest,214,9,126,12,18,58,0.8598130841121495,0.8381006864988558,0.8285714285714286,0.7631578947368421,0.8936170212765957,0.7945205479452055,0.8440687846109006,0.8440687846109006,0.0,PASS,2.3063150000000014
glass1,none,No Resampling,random_forest,214,9,130,8,23,53,0.8551401869158879,0.819698703279939,0.8688524590163934,0.6973684210526315,0.8934707903780069,0.7737226277372262,0.8335967090576166,0.8335967090576166,0.0,PASS,2.8272603000000007
glass1,smote_tomek,SMOTE-Tomek,random_forest,214,9,125,13,21,55,0.8411214953271028,0.8147406559877957,0.8088235294117647,0.7236842105263158,0.880281690140845,0.763888888888889,0.8220852895148669,0.8220852895148669,0.0,PASS,2.275159000000002
glass1,adasyn,ADASYN,random_forest,214,9,121,17,18,58,0.8364485981308412,0.8199847444698704,0.7733333333333333,0.7631578947368421,0.8736462093862816,0.7682119205298014,0.8209290649580414,0.8209290649580414,0.0,PASS,2.5798039000000017
glass1,rus,Random Undersampling,random_forest,214,9,121,17,20,56,0.8271028037383178,0.8068268497330282,0.7671232876712328,0.7368421052631579,0.8673835125448028,0.7516778523489932,0.809530682446898,0.809530682446898,0.0,PASS,2.7094896000000013
glass1,smote_enn,SMOTE-ENN,random_forest,214,9,113,25,19,57,0.794392523364486,0.7844202898550725,0.6951219512195121,0.75,0.837037037037037,0.721518987341772,0.7792780121894045,0.7792780121894045,0.0,PASS,2.2103654000000006
