dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
zoo-3,ros,Random Oversampling,random_forest,101,16,0,16,3,95,1,2,3,0.9702970297029703,0.7947916666666667,0.75,0.6,0.9844559585492227,0.6666666666666665,0.8255613126079446,0.8255613126079446,0.0,PASS,3.469139900000002
zoo-3,none,No Resampling,random_forest,101,16,0,16,3,96,0,3,2,0.9702970297029703,0.7,1.0,0.4,0.9846153846153847,0.5714285714285715,0.7780219780219781,0.7780219780219781,0.0,PASS,2.998932999999999
zoo-3,smote_enn,SMOTE-ENN,random_forest,101,16,0,16,3,93,3,2,3,0.9504950495049505,0.784375,0.5,0.6,0.9738219895287958,0.5454545454545454,0.7596382674916706,0.7596382674916706,0.0,PASS,3.499875799999998
zoo-3,smote,SMOTE,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,3.593702099999998
zoo-3,adasyn,ADASYN,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,4.231496
zoo-3,smote_tomek,SMOTE-Tomek,random_forest,101,16,0,16,3,95,1,3,2,0.9603960396039604,0.6947916666666667,0.6666666666666666,0.4,0.9793814432989691,0.5,0.7396907216494846,0.7396907216494846,0.0,PASS,3.2768790999999986
zoo-3,rus,Random Undersampling,random_forest,101,16,0,16,3,63,33,1,4,0.6633663366336634,0.728125,0.10810810810810811,0.8,0.7875,0.19047619047619047,0.4889880952380952,0.4889880952380952,0.0,PASS,3.1916370999999977
