resampling_code,dataset,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
none,vowel0,No Resampling,random_forest,988,13,13,0,5,894,4,22,68,0.9736842105263158,0.8755506062855729,0.9444444444444444,0.7555555555555555,0.9856670341786108,0.8395061728395062,0.9125866035090584,0.9125866035090585,0.0,PASS,,2.5871901999999984
smote_enn,vowel0,SMOTE-ENN,random_forest,988,13,13,0,5,895,3,25,65,0.97165991902834,0.8594407324919574,0.9558823529411764,0.7222222222222222,0.9845984598459847,0.8227848101265822,0.9036916349862836,0.9036916349862835,0.0,PASS,,3.005150700000001
smote,vowel0,SMOTE,random_forest,988,13,13,0,5,896,2,30,60,0.9676113360323888,0.8322197475872308,0.967741935483871,0.6666666666666666,0.9824561403508772,0.7894736842105263,0.8859649122807018,0.8859649122807018,0.0,PASS,,2.7089402000000007
smote_tomek,vowel0,SMOTE-Tomek,random_forest,988,13,13,0,5,896,2,30,60,0.9676113360323888,0.8322197475872308,0.967741935483871,0.6666666666666666,0.9824561403508772,0.7894736842105263,0.8859649122807018,0.8859649122807018,0.0,PASS,,2.947246899999996
rus,vowel0,Random Undersampling,random_forest,988,13,13,0,5,860,38,8,82,0.9534412955465588,0.934397426379609,0.6833333333333333,0.9111111111111112,0.9739524348810872,0.7809523809523808,0.8774524079167341,0.8774524079167341,0.0,PASS,,2.0851495
ros,vowel0,Random Oversampling,random_forest,988,13,13,0,5,894,4,31,59,0.9645748987854252,0.8255506062855729,0.9365079365079364,0.6555555555555556,0.9808008776741635,0.7712418300653594,0.8760213538697614,0.8760213538697614,0.0,PASS,,2.7590128000000007
adasyn,vowel0,ADASYN,random_forest,988,13,13,0,5,892,6,33,57,0.9605263157894736,0.8133259094283594,0.9047619047619048,0.6333333333333333,0.9786066922654965,0.7450980392156863,0.8618523657405914,0.8618523657405914,0.0,PASS,,2.7080026000000004
