dataset,resampling_code,resampling,classifier,samples,features,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
glass1,smote_enn,SMOTE-ENN,logistic_regression,214,9,73,65,18,58,0.6121495327102804,0.6460717009916095,0.4715447154471545,0.7631578947368421,0.6375545851528385,0.5829145728643216,0.61023457900858,0.61023457900858,0.0,PASS,0.12971299999999975
glass1,ros,Random Oversampling,logistic_regression,214,9,71,67,17,59,0.6074766355140186,0.6454042715484363,0.46825396825396826,0.7763157894736842,0.6283185840707964,0.5841584158415842,0.6062384999561903,0.6062384999561903,0.0,PASS,0.20195220000000003
glass1,smote,SMOTE,logistic_regression,214,9,73,65,19,57,0.6074766355140186,0.6394927536231885,0.4672131147540984,0.75,0.6347826086956523,0.5757575757575758,0.6052700922266141,0.6052700922266141,0.0,PASS,0.0968233000000005
glass1,smote_tomek,SMOTE-Tomek,logistic_regression,214,9,72,66,20,56,0.5981308411214953,0.6292906178489702,0.45901639344262296,0.7368421052631579,0.6260869565217392,0.5656565656565656,0.5958717610891524,0.5958717610891524,0.0,PASS,0.14785989999999938
glass1,rus,Random Undersampling,logistic_regression,214,9,78,60,29,47,0.5841121495327103,0.5918192219679634,0.4392523364485981,0.618421052631579,0.636734693877551,0.5136612021857924,0.5751979480316717,0.5751979480316717,0.0,PASS,0.14696830000000016
glass1,adasyn,ADASYN,logistic_regression,214,9,71,67,26,50,0.5654205607476636,0.5861937452326469,0.42735042735042733,0.6578947368421053,0.6042553191489362,0.5181347150259067,0.5611950170874214,0.5611950170874214,0.0,PASS,0.12824619999999953
glass1,none,No Resampling,logistic_regression,214,9,122,16,63,13,0.6308411214953271,0.5275553012967201,0.4482758620689655,0.17105263157894737,0.7554179566563467,0.24761904761904763,0.5015185021376971,0.5015185021376971,0.0,PASS,0.09352110000000025
