resampling_code,dataset,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
none,vowel0,No Resampling,xgboost,988,13,13,0,5,892,6,21,69,0.972672064777328,0.879992576095026,0.92,0.7666666666666667,0.9850911098840419,0.8363636363636363,0.9107273731238392,0.9107273731238391,0.0,PASS,,1.8414299999999957
adasyn,vowel0,ADASYN,xgboost,988,13,13,0,5,879,19,12,78,0.9686234817813764,0.92275426874536,0.8041237113402062,0.8666666666666667,0.9826718837339296,0.8342245989304814,0.9084482413322056,0.9084482413322055,0.0,PASS,,1.8552600999999955
ros,vowel0,Random Oversampling,xgboost,988,13,13,0,5,884,14,17,73,0.9686234817813764,0.8977604553328384,0.8390804597701149,0.8111111111111111,0.9827682045580878,0.8248587570621468,0.9038134808101173,0.9038134808101173,0.0,PASS,,1.538400099999997
smote,vowel0,SMOTE,xgboost,988,13,13,0,5,881,17,19,71,0.9635627530364372,0.8849789656025736,0.8068181818181818,0.7888888888888889,0.9799777530589543,0.797752808988764,0.8888652810238591,0.8888652810238591,0.0,PASS,,1.8643550000000035
smote_tomek,vowel0,SMOTE-Tomek,xgboost,988,13,13,0,5,881,17,19,71,0.9635627530364372,0.8849789656025736,0.8068181818181818,0.7888888888888889,0.9799777530589543,0.797752808988764,0.8888652810238591,0.8888652810238591,0.0,PASS,,2.083772500000002
smote_enn,vowel0,SMOTE-ENN,xgboost,988,13,13,0,5,881,17,19,71,0.9635627530364372,0.8849789656025736,0.8068181818181818,0.7888888888888889,0.9799777530589543,0.797752808988764,0.8888652810238591,0.8888652810238591,0.0,PASS,,2.136049399999997
rus,vowel0,Random Undersampling,xgboost,988,13,13,0,5,859,39,5,85,0.9554655870445344,0.9505073001732244,0.6854838709677419,0.9444444444444444,0.9750283768444948,0.794392523364486,0.8847104501044905,0.8847104501044905,0.0,PASS,,1.018322099999999
