dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
pima,smote_enn,SMOTE-ENN,decision_tree,768,8,8,0,5,347,153,68,200,0.7122395833333334,0.7201343283582089,0.56657223796034,0.746268656716418,0.7584699453551912,0.644122383252818,0.7012961643040045,0.7012961643040045,0.0,PASS,,0.2820407999999972
pima,smote,SMOTE,decision_tree,768,8,8,0,5,384,116,113,155,0.7018229166666666,0.6731791044776119,0.5719557195571956,0.5783582089552238,0.7703109327983951,0.5751391465677179,0.6727250396830565,0.6727250396830565,0.0,PASS,,0.1564793999999985
pima,ros,Random Oversampling,decision_tree,768,8,8,0,5,388,112,116,152,0.703125,0.6715820895522389,0.5757575757575758,0.5671641791044776,0.7729083665338645,0.5714285714285714,0.672168468981218,0.672168468981218,0.0,PASS,,0.1465141999999986
pima,none,No Resampling,decision_tree,768,8,8,0,5,383,117,113,155,0.7005208333333334,0.672179104477612,0.5698529411764706,0.5783582089552238,0.7690763052208835,0.574074074074074,0.6715751896474788,0.6715751896474788,0.0,PASS,,0.5183229000000011
pima,rus,Random Undersampling,decision_tree,768,8,8,0,5,338,162,82,186,0.6822916666666666,0.6850149253731344,0.5344827586206896,0.6940298507462687,0.7347826086956522,0.6038961038961039,0.669339356295878,0.669339356295878,0.0,PASS,,0.10888269999999878
pima,smote_tomek,SMOTE-Tomek,decision_tree,768,8,8,0,5,367,133,104,164,0.69140625,0.6729701492537313,0.5521885521885522,0.6119402985074627,0.7559217301750772,0.5805309734513275,0.6682263518132023,0.6682263518132023,0.0,PASS,,0.19225400000000192
pima,adasyn,ADASYN,decision_tree,768,8,8,0,5,353,147,98,170,0.6809895833333334,0.6701641791044777,0.5362776025236593,0.6343283582089553,0.7423764458464773,0.5811965811965814,0.6617865135215293,0.6617865135215293,0.0,PASS,,0.1911214000000001
