dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,failure_reason,execution_time_seconds
ecoli-0_vs_1,smote_enn,SMOTE-ENN,xgboost,220,7,7,0,5,143,0,2,75,0.990909090909091,0.987012987012987,1.0,0.974025974025974,0.9930555555555556,0.9868421052631579,0.9899488304093567,0.9899488304093567,0.0,PASS,,1.0908283999999995
ecoli-0_vs_1,ros,Random Oversampling,xgboost,220,7,7,0,5,142,1,2,75,0.9863636363636363,0.9835164835164836,0.9868421052631579,0.974025974025974,0.9895470383275262,0.9803921568627451,0.9849695975951356,0.9849695975951356,0.0,PASS,,1.259764599999997
ecoli-0_vs_1,none,No Resampling,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.1138825999999966
ecoli-0_vs_1,rus,Random Undersampling,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.171676099999999
ecoli-0_vs_1,smote,SMOTE,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.0303062999999995
ecoli-0_vs_1,smote_tomek,SMOTE-Tomek,xgboost,220,7,7,0,5,141,2,2,75,0.9818181818181818,0.98001998001998,0.974025974025974,0.974025974025974,0.986013986013986,0.974025974025974,0.98001998001998,0.98001998001998,0.0,PASS,,1.1116704000000013
ecoli-0_vs_1,adasyn,ADASYN,xgboost,220,7,7,0,5,140,3,2,75,0.9772727272727273,0.9765234765234765,0.9615384615384616,0.974025974025974,0.9824561403508772,0.967741935483871,0.9750990379173741,0.9750990379173741,0.0,PASS,,1.0988431999999975
