dataset,resampling_code,resampling,classifier,samples,features,numeric_features,categorical_features,safe_k_neighbors,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_class_0_math,f1_class_1_math,macro_f1_code,macro_f1_math,metric_error,verification,execution_time_seconds
glass1,none,No Resampling,decision_tree,214,9,9,0,5,114,24,23,53,0.780373831775701,0.7617276887871853,0.6883116883116883,0.6973684210526315,0.829090909090909,0.6928104575163399,0.7609506833036244,0.7609506833036244,0.0,PASS,0.09527760000000018
glass1,smote_tomek,SMOTE-Tomek,decision_tree,214,9,9,0,5,113,25,24,52,0.7710280373831776,0.7515255530129672,0.6753246753246753,0.6842105263157895,0.8218181818181818,0.6797385620915033,0.7507783719548425,0.7507783719548425,0.0,PASS,0.13670150000000003
glass1,ros,Random Oversampling,decision_tree,214,9,9,0,5,111,27,24,52,0.7616822429906542,0.744279176201373,0.6582278481012658,0.6842105263157895,0.8131868131868132,0.6709677419354839,0.7420772775611486,0.7420772775611486,0.0,PASS,0.0906172999999999
glass1,adasyn,ADASYN,decision_tree,214,9,9,0,5,105,33,21,55,0.7476635514018691,0.7422768878718535,0.625,0.7236842105263158,0.7954545454545455,0.6707317073170731,0.7330931263858094,0.7330931263858094,0.0,PASS,0.1070240999999994
glass1,rus,Random Undersampling,decision_tree,214,9,9,0,5,105,33,22,54,0.7429906542056075,0.7356979405034325,0.6206896551724138,0.7105263157894737,0.7924528301886792,0.6625766871165644,0.7275147586526218,0.7275147586526218,0.0,PASS,0.10131159999999984
glass1,smote,SMOTE,decision_tree,214,9,9,0,5,110,28,27,49,0.7429906542056075,0.7209191456903128,0.6363636363636364,0.6447368421052632,0.7999999999999999,0.6405228758169935,0.7202614379084967,0.7202614379084967,0.0,PASS,0.08828440000000004
glass1,smote_enn,SMOTE-ENN,decision_tree,214,9,9,0,5,101,37,25,51,0.7102803738317757,0.701468344774981,0.5795454545454546,0.6710526315789473,0.7651515151515151,0.6219512195121951,0.6935513673318552,0.6935513673318552,0.0,PASS,0.12063990000000047
