meta_model,classifier,datasets,mean_full_evaluation_time,mean_selected_strategy_time,mean_savings_seconds,mean_savings_percent,mean_regret,top1_accuracy,top3_accuracy
gradient_boosting,decision_tree,12,2.142551066666667,0.31745889999999993,1.825092166666667,83.30154016937199,0.016867965493602175,25.0,91.66666666666666
gradient_boosting,logistic_regression,12,2.7203540416666665,0.26236121666666656,2.457992825,87.85933343481236,0.010887400544462333,33.33333333333333,50.0
gradient_boosting,random_forest,12,27.69396288333333,3.6774431166666663,24.016519766666665,86.48915156435244,0.017605143052116568,25.0,41.66666666666667
gradient_boosting,xgboost,12,13.120100900000002,1.9232252999999992,11.196875600000004,85.466053918851,0.012327619414553842,25.0,50.0
random_forest,decision_tree,12,2.142551066666667,0.2974798166666668,1.8450712500000002,84.36071349214815,0.014107346570701292,33.33333333333333,83.33333333333334
random_forest,logistic_regression,12,2.7203540416666665,0.2512459250000001,2.469108116666666,87.58030845820365,0.023707998419294316,25.0,25.0
random_forest,random_forest,12,27.69396288333333,4.069373916666666,23.624588966666668,85.37967470752083,0.014222135534902267,41.66666666666667,75.0
random_forest,xgboost,12,13.120100900000002,1.7694521083333334,11.35064879166667,85.93565838783611,0.018109864416122935,25.0,50.0
ridge,decision_tree,12,2.142551066666667,0.575923475,1.5666275916666672,78.1517753836308,0.022369008496164963,16.666666666666664,83.33333333333334
ridge,logistic_regression,12,2.7203540416666665,0.3088866666666665,2.4114673749999995,86.35772361614852,0.012969860441393642,16.666666666666664,25.0
ridge,random_forest,12,27.69396288333333,4.244482200000001,23.449480683333334,84.70189012158207,0.028696186279667416,16.666666666666664,41.66666666666667
ridge,xgboost,12,13.120100900000002,2.027031191666666,11.093069708333337,84.78144453330204,0.012722043122556025,16.666666666666664,41.66666666666667
xgboost,decision_tree,12,2.142551066666667,0.2797384833333335,1.8628125833333335,86.08253381849103,0.015682737448973732,25.0,75.0
xgboost,logistic_regression,12,2.7203540416666665,0.27166158333333335,2.448692458333333,86.20773089590392,0.022598517831421406,25.0,33.33333333333333
xgboost,random_forest,12,27.69396288333333,4.072562441666666,23.621400441666665,85.28908708579932,0.02650333518001488,25.0,58.333333333333336
xgboost,xgboost,12,13.120100900000002,1.9334213166666665,11.186679583333335,85.4212203897301,0.02153564424763955,25.0,50.0
