dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
ecoli-0_vs_1,logistic_regression,ridge,adasyn,smote_tomek,0.0147637471075949,False,False,1.0172460999999973,0.1576374999999998,0.8596085999999975,84.50350411763681
glass1,logistic_regression,ridge,smote_tomek,smote_enn,0.0143628179194276,False,False,1.0580544999999988,0.1421527999999998,0.9159016999999989,86.56469964448901
haberman,logistic_regression,ridge,smote,smote_enn,0.0171839979701443,False,False,0.8455914999999994,0.1387938999999995,0.7067975999999999,83.5861760672855
iris0,logistic_regression,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,1.3112554,0.2810267000000017,1.0302286999999983,78.56811876618379
page-blocks0,logistic_regression,ridge,smote,none,0.0210066011660191,False,False,9.3963722,0.8389156999999994,8.5574565,91.07191922431511
pima,logistic_regression,ridge,smote_tomek,none,0.0062858801486762,False,False,1.3584931999999998,0.2450669999999997,1.1134262000000001,81.96038081015055
segment0,logistic_regression,ridge,smote,none,0.0008669573849962,False,False,5.788029100000001,0.3373682000000002,5.450660900000001,94.1712767131734
shuttle-c0-vs-c4,logistic_regression,ridge,smote,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,3.4081883999999985,0.5711854999999986,2.8370029,83.24078856673538
vehicle2,logistic_regression,ridge,smote,ros,0.0090311928433667,False,True,2.9005068000000014,0.4186257000000006,2.4818811000000007,85.56715329886487
vowel0,logistic_regression,ridge,smote,none,0.0588865532813794,False,False,2.2967455999999977,0.1878190999999986,2.108926499999999,91.82238119885811
wisconsin,logistic_regression,ridge,adasyn,smote_enn,0.0046246776866826,False,False,1.2072141000000007,0.1723124,1.0349017000000007,85.72644239327558
yeast1,logistic_regression,ridge,smote,rus,0.0086258997884367,False,False,2.0565516000000006,0.2157355,1.8408161000000005,89.50984259281411
ecoli-0_vs_1,decision_tree,ridge,none,smote_enn,0.0197429799218161,False,True,0.7773905000000008,0.1590112999999995,0.6183792000000012,79.54550512258648
glass1,decision_tree,ridge,smote_enn,none,0.0673993159717691,False,True,0.7398563999999996,0.1206399000000004,0.6192164999999993,83.69414659385248
haberman,decision_tree,ridge,none,smote_enn,0.0738865721727286,False,False,0.6776106999999986,0.0980717999999996,0.579538899999999,85.52682240702518
iris0,decision_tree,ridge,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,0.9672043000000058,0.1949620000000003,0.7722423000000055,79.84272815991419
page-blocks0,decision_tree,ridge,smote_enn,none,0.0082818692591836,False,True,7.595065100000003,2.3035964,5.291468700000003,69.66982679318971
pima,decision_tree,ridge,none,smote_enn,0.0297209746565257,False,True,1.4682680999999986,0.1650589,1.3032091999999986,88.75825879483453
segment0,decision_tree,ridge,smote_enn,adasyn,0.0025480174110458,False,True,5.426655400000001,2.1604484,3.2662070000000014,60.188214641379304
shuttle-c0-vs-c4,decision_tree,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,2.1616400000000002,0.2338208999999995,1.9278191000000007,89.1831711108233
vehicle2,decision_tree,ridge,smote_enn,none,0.0189238752142956,False,True,1.5138356999999996,0.5276239999999994,0.9862117000000001,65.14654793779803
vowel0,decision_tree,ridge,smote_enn,adasyn,0.0324289080078161,False,False,1.0065831999999975,0.2290269000000009,0.7775562999999965,77.24709691161134
