meta_model,classifier,threshold,datasets,no_resampling_rate,improvement_rate,oracle_match_rate,mean_baseline_macro_f1,mean_selected_macro_f1,mean_oracle_macro_f1,mean_selected_improvement,mean_oracle_improvement,mean_gap_to_oracle,mean_savings_percent
gradient_boosting,decision_tree,0.0,12,50.0,8.333333333333332,25.0,0.858295489662685,0.8547046971016581,0.8715726625952603,-0.0035907925610269378,0.01327717293257528,0.016867965493602217,84.10267563440937
gradient_boosting,decision_tree,0.005,12,66.66666666666666,0.0,25.0,0.858295489662685,0.8490758168673175,0.8715726625952603,-0.009219672795367442,0.01327717293257528,0.02249684572794272,84.76800164314692
gradient_boosting,decision_tree,0.01,12,83.33333333333334,0.0,41.66666666666667,0.858295489662685,0.855955535063314,0.8715726625952603,-0.0023399545993709934,0.01327717293257528,0.015617127531946273,85.76630509384472
gradient_boosting,decision_tree,0.015,12,91.66666666666666,0.0,50.0,0.858295489662685,0.8575325246645052,0.8715726625952603,-0.0007629649981796919,0.01327717293257528,0.014040137930754973,87.88290532992055
gradient_boosting,decision_tree,0.02,12,91.66666666666666,0.0,50.0,0.858295489662685,0.8575325246645052,0.8715726625952603,-0.0007629649981796919,0.01327717293257528,0.014040137930754973,87.88290532992055
gradient_boosting,logistic_regression,0.0,12,75.0,0.0,41.66666666666667,0.8337024945926549,0.8316576051083956,0.8561757151151759,-0.002044889484259275,0.022473220522521153,0.02451811000678043,85.233992056423
gradient_boosting,logistic_regression,0.005,12,75.0,0.0,41.66666666666667,0.8337024945926549,0.8316576051083956,0.8561757151151759,-0.002044889484259275,0.022473220522521153,0.02451811000678043,85.233992056423
gradient_boosting,logistic_regression,0.01,12,83.33333333333334,0.0,41.66666666666667,0.8337024945926549,0.8319093265467279,0.8561757151151759,-0.0017931680459269221,0.022473220522521153,0.024266388568448077,85.27480503234831
gradient_boosting,logistic_regression,0.015,12,83.33333333333334,0.0,41.66666666666667,0.8337024945926549,0.8319093265467279,0.8561757151151759,-0.0017931680459269221,0.022473220522521153,0.024266388568448077,85.27480503234831
gradient_boosting,logistic_regression,0.02,12,91.66666666666666,0.0,50.0,0.8337024945926549,0.8328948437317237,0.8561757151151759,-0.000807650860931051,0.022473220522521153,0.023280871383452206,85.85774439977884
gradient_boosting,random_forest,0.0,12,66.66666666666666,25.0,41.66666666666667,0.8826875725185327,0.886600821617253,0.8986038904922498,0.003913249098720271,0.015916317973717054,0.012003068874996784,86.69213067521541
gradient_boosting,random_forest,0.005,12,83.33333333333334,16.666666666666664,50.0,0.8826875725185327,0.8842595174478919,0.8986038904922498,0.0015719449293593406,0.015916317973717054,0.014344373044357714,86.64413234663645
gradient_boosting,random_forest,0.01,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
gradient_boosting,random_forest,0.015,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
gradient_boosting,random_forest,0.02,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
gradient_boosting,xgboost,0.0,12,50.0,16.666666666666664,25.0,0.8798558348490212,0.8776244238324953,0.8906282003989623,-0.002231411016525945,0.01077236554994109,0.013003776566467035,84.99734620015109
gradient_boosting,xgboost,0.005,12,91.66666666666666,0.0,41.66666666666667,0.8798558348490212,0.8793820011659643,0.8906282003989623,-0.0004738336830568772,0.01077236554994109,0.011246199232997967,85.65760027766386
gradient_boosting,xgboost,0.01,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
gradient_boosting,xgboost,0.015,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
gradient_boosting,xgboost,0.02,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
random_forest,decision_tree,0.0,12,33.33333333333333,16.666666666666664,33.33333333333333,0.858295489662685,0.857465316024559,0.8715726625952603,-0.0008301736381260508,0.01327717293257528,0.014107346570701331,85.16184895718551
random_forest,decision_tree,0.005,12,58.333333333333336,0.0,16.666666666666664,0.858295489662685,0.8497327107985592,0.8715726625952603,-0.008562778864125884,0.01327717293257528,0.021839951796701163,86.22276551790192
random_forest,decision_tree,0.01,12,83.33333333333334,0.0,41.66666666666667,0.858295489662685,0.852150545884984,0.8715726625952603,-0.0061449437777009825,0.01327717293257528,0.01942211671027626,88.51058280754997
random_forest,decision_tree,0.015,12,91.66666666666666,0.0,50.0,0.858295489662685,0.852678879998371,0.8715726625952603,-0.005616609664314098,0.01327717293257528,0.01889378259688938,89.03567711687664
random_forest,decision_tree,0.02,12,100.0,0.0,58.333333333333336,0.858295489662685,0.858295489662685,0.8715726625952603,0.0,0.01327717293257528,0.01327717293257528,89.32134403818732
random_forest,logistic_regression,0.0,12,50.0,8.333333333333332,25.0,0.8337024945926549,0.8324677166958816,0.8561757151151759,-0.0012347778967732037,0.022473220522521153,0.023707998419294357,87.58030845820365
random_forest,logistic_regression,0.005,12,83.33333333333334,0.0,41.66666666666667,0.8337024945926549,0.8302955224267614,0.8561757151151759,-0.0034069721658933905,0.022473220522521153,0.025880192688414544,86.12228851819935
random_forest,logistic_regression,0.01,12,83.33333333333334,0.0,41.66666666666667,0.8337024945926549,0.8302955224267614,0.8561757151151759,-0.0034069721658933905,0.022473220522521153,0.025880192688414544,86.12228851819935
random_forest,logistic_regression,0.015,12,91.66666666666666,0.0,50.0,0.8337024945926549,0.8328948437317237,0.8561757151151759,-0.000807650860931051,0.022473220522521153,0.023280871383452206,85.85774439977884
random_forest,logistic_regression,0.02,12,91.66666666666666,0.0,50.0,0.8337024945926549,0.8328948437317237,0.8561757151151759,-0.000807650860931051,0.022473220522521153,0.023280871383452206,85.85774439977884
random_forest,random_forest,0.0,12,50.0,16.666666666666664,41.66666666666667,0.8826875725185327,0.8843817549573475,0.8986038904922498,0.0016941824388147693,0.015916317973717054,0.014222135534902286,85.37967470752083
random_forest,random_forest,0.005,12,91.66666666666666,0.0,41.66666666666667,0.8826875725185327,0.8819646362216514,0.8986038904922498,-0.0007229362968811474,0.015916317973717054,0.016639254270598203,86.17529428690057
random_forest,random_forest,0.01,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
random_forest,random_forest,0.015,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
random_forest,random_forest,0.02,12,100.0,0.0,50.0,0.8826875725185327,0.8826875725185327,0.8986038904922498,0.0,0.015916317973717054,0.015916317973717054,86.7574320020533
random_forest,xgboost,0.0,12,41.66666666666667,16.666666666666664,25.0,0.8798558348490212,0.8725183359828393,0.8906282003989623,-0.007337498866181884,0.01077236554994109,0.018109864416122973,85.93565838783611
random_forest,xgboost,0.005,12,83.33333333333334,0.0,41.66666666666667,0.8798558348490212,0.8727421032811372,0.8906282003989623,-0.007113731567883937,0.01077236554994109,0.017886097117825028,85.62722404174951
random_forest,xgboost,0.01,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
random_forest,xgboost,0.015,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
random_forest,xgboost,0.02,12,100.0,0.0,50.0,0.8798558348490212,0.8798558348490212,0.8906282003989623,0.0,0.01077236554994109,0.01077236554994109,85.79113667774782
ridge,decision_tree,0.0,12,50.0,0.0,16.666666666666664,0.858295489662685,0.8490505780654689,0.8715726625952603,-0.009244911597216179,0.01327717293257528,0.02252208452979146,81.75939732650865
ridge,decision_tree,0.005,12,58.333333333333336,0.0,25.0,0.858295489662685,0.8498135430636485,0.8715726625952603,-0.008481946599036486,0.01327717293257528,0.021759119531611765,83.19783603477542
ridge,decision_tree,0.01,12,75.0,0.0,33.33333333333333,0.858295489662685,0.8555000101765082,0.8715726625952603,-0.0027954794861768197,0.01327717293257528,0.0160726524187521,84.7206278819409
ridge,decision_tree,0.015,12,83.33333333333334,0.0,41.66666666666667,0.858295489662685,0.8570769997776995,0.8715726625952603,-0.0012184898849855186,0.01327717293257528,0.014495662817560798,86.83722811801671
ridge,decision_tree,0.02,12,91.66666666666666,0.0,50.0,0.858295489662685,0.8576053338910864,0.8715726625952603,-0.0006901557715986347,0.01327717293257528,0.013967328704173915,87.36232242734337
ridge,logistic_regression,0.0,12,58.333333333333336,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,logistic_regression,0.005,12,58.333333333333336,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,logistic_regression,0.01,12,58.333333333333336,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,logistic_regression,0.015,12,58.333333333333336,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,logistic_regression,0.02,12,58.333333333333336,0.0,25.0,0.8337024945926549,0.8253532502387144,0.8561757151151759,-0.00834924435394041,0.022473220522521153,0.030822464876461564,86.93441464984785
ridge,random_forest,0.0,12,50.0,8.333333333333332,25.0,0.8826875725185327,0.8749733258905293,0.8986038904922498,-0.0077142466280033335,0.015916317973717054,0.02363056460172039,86.32563552895103
ridge,random_forest,0.005,12,58.333333333333336,8.333333333333332,33.33333333333333,0.8826875725185327,0.8753882619583812,0.8986038904922498,-0.007299310560151567,0.015916317973717054,0.02321562853386862,86.12120571549961
ridge,random_forest,0.01,12,66.66666666666666,8.333333333333332,33.33333333333333,0.8826875725185327,0.8765243808282226,0.8986038904922498,-0.006163191690310034,0.015916317973717054,0.02207950966402709,86.07822261059194
ridge,random_forest,0.015,12,75.0,8.333333333333332,41.66666666666667,0.8826875725185327,0.8807522339755948,0.8986038904922498,-0.0019353385429377867,0.015916317973717054,0.01785165651665484,86.13177223269123
ridge,random_forest,0.02,12,83.33333333333334,0.0,41.66666666666667,0.8826875725185327,0.8804509796804306,0.8986038904922498,-0.0022365928381021063,0.015916317973717054,0.018152910811819162,86.3663338600288
ridge,xgboost,0.0,12,50.0,8.333333333333332,25.0,0.8798558348490212,0.8774451136132749,0.8906282003989623,-0.0024107212357462695,0.01077236554994109,0.013183086785687359,84.9581504758671
ridge,xgboost,0.005,12,58.333333333333336,8.333333333333332,25.0,0.8798558348490212,0.8778551921218254,0.8906282003989623,-0.0020006427271957636,0.01077236554994109,0.012773008277136852,84.94223975031194
ridge,xgboost,0.01,12,66.66666666666666,0.0,25.0,0.8798558348490212,0.8772888843710733,0.8906282003989623,-0.0025669504779478416,0.01077236554994109,0.013339316027888931,85.16024283854766
ridge,xgboost,0.015,12,91.66666666666666,0.0,41.66666666666667,0.8798558348490212,0.8783568198242254,0.8906282003989623,-0.0014990150247958338,0.01077236554994109,0.012271380574736923,85.1252438065206
ridge,xgboost,0.02,12,91.66666666666666,0.0,41.66666666666667,0.8798558348490212,0.8783568198242254,0.8906282003989623,-0.0014990150247958338,0.01077236554994109,0.012271380574736923,85.1252438065206
xgboost,decision_tree,0.0,12,50.0,8.333333333333332,25.0,0.858295489662685,0.8558899251462866,0.8715726625952603,-0.002405564516398497,0.01327717293257528,0.015682737448973777,86.08253381849103
xgboost,decision_tree,0.005,12,50.0,8.333333333333332,25.0,0.858295489662685,0.8558899251462866,0.8715726625952603,-0.002405564516398497,0.01327717293257528,0.015682737448973777,86.08253381849103
